업체명,구분,분배대상금,일반회원분배금,일반미확인,출판사국내,출판사해외,출판사국내해외,출판사미확인국내분
KBS,부가세가산전,42652800.0,29006534.3449686,0,11432723.1454291,2213596.17357142,13646319.3190005,0
KBS,4%보류금포함,44430000.0,30215139.9426756,0,11909086.609822,2305829.34747023,14214915.9572922,0
KBS,4%보류금+부가세,45620964.56095,30215139.9426756,0,13099995.2708042,2305829.34747023,15405824.6182744,0
KBS,분배테이블상분배금합,43796125.98,29006534.3449686,0,12575995.459972,2213596.17357142,14789591.6335434,0
KBS,검수,0.0,29006534.3449686,0,12575995.459972,2213596.17357142,14789591.6335434,0
MBC,부가세가산전,21811200.0,11702954.4529144,0,9634619.02412502,473715.121624309,10108334.1457493,0
MBC,4%보류금포함,22720000.0,12190577.5551192,0,10036061.4834636,493453.251691988,10529514.7351555,0
MBC,4%보류금+부가세,23723698.4386211,12190577.5551192,0,11039667.6318099,493453.251691988,11533120.8835019,0
MBC,분배테이블상분배금합,22774750.5,11702954.4529144,0,10598080.9265375,473715.121624309,11071796.0481618,0
MBC,검수,0.0,11702954.4529144,0,10598080.9265375,473715.121624309,11071796.0481618,0
SBS,부가세가산전,14160000.0,4892816.44812074,0,7201364.11649893,2065896.4834146,9267260.59991353,0
SBS,4%보류금포함,14750000.0,5096683.80012577,0,7501420.95468639,2151975.50355687,9653396.45824326,0
SBS,4%보류금+부가세,15500222.3538377,5096683.80012577,0,8251563.05015503,2151975.50355687,10403538.5537119,0
SBS,분배테이블상분배금합,14880213.46,4892816.44812074,0,7921500.52814883,2065896.4834146,9987397.01156342,0
SBS,검수,0.0,4892816.44812074,0,7921500.52814883,2065896.4834146,9987397.01156342,0
