징수년월,분배년월,징수코드,매체별,대분류,중분류,서비스코드,매체명,대분류명,중분류명,서비스명,업체코드,업체명,앨범코드,앨범명,곡코드,곡코드시퀀스,곡명,가수,출판사,구분,권리자코드,권리자명,계약코드,계약명,최종정산처코드,최종정산처,곡당분배금합,히트수,분배금액통합(10%가산후),수수료율,협회징수지분율,협회분배지분율,수수료,지급액,vatchk,VATPH
202004,202012,D,696,781,784,BA_10_02,방송,무선방송,지상파,Radio,,KBS,D03106,ARCADIA ENTERTAINMENT,D03106000163,D03106000163,Rondo Alla Turca,,,C,N0004809,Wolfgang Amadeus Mozart,CN0004879,[비회원]Wolfgang Amadeus Mozart,N0004809,Wolfgang Amadeus Mozart,704.0674606352917,1,352.0337303176458,0.1,0.5,0.5,35.20337303176458,316.83035728588123,N,352.0337303176458
202004,202012,D,696,781,784,BA_10_02,방송,무선방송,지상파,Radio,,KBS,D03106,ARCADIA ENTERTAINMENT,D03106000163,D03106000163,Rondo Alla Turca,,,E,N0021746,ARCADIA ENTERTAINMENT,CN0024309,[비회원] ARCADIA ENTERTAINMENT,N0021746,ARCADIA ENTERTAINMENT,704.0674606352917,1,176.0168651588229,0.1,0.25,0.25,17.60168651588229,158.41517864294062,N,176.0168651588229
202004,202012,D,696,781,784,BA_10_02,방송,무선방송,지상파,Radio,,KBS,D03106,ARCADIA ENTERTAINMENT,D03106000163,D03106000163,Rondo Alla Turca,,,SE,P0000191,LKC MUSIC,CP0006503,[출판사](주)엘케이씨뮤직(라이브러리),P0000191,LKC MUSIC,704.0674606352917,1,176.0168651588229,0.1,0.25,0.25,19.361855167470523,174.25669650723466,P,193.6185516747052
202004,202012,D,696,781,784,BA_10_02,방송,무선방송,지상파,Radio,,KBS,D03106,ARCADIA ENTERTAINMENT,D03106000448,D03106000448,Show Time,,,C,N0022090,Peer Bohm,CN0024609,[LKC]Peer Bohm,N0022090,Peer Bohm,2112.202381905875,3,1056.1011909529377,0.1,0.5,0.5,105.61011909529378,950.4910718576439,N,1056.1011909529377
202004,202012,D,696,781,784,BA_10_02,방송,무선방송,지상파,Radio,,KBS,D03106,ARCADIA ENTERTAINMENT,D03106000448,D03106000448,Show Time,,,E,N0021746,ARCADIA ENTERTAINMENT,CN0024309,[비회원] ARCADIA ENTERTAINMENT,N0021746,ARCADIA ENTERTAINMENT,2112.202381905875,3,528.0505954764686,0.1,0.25,0.25,52.80505954764686,475.24553592882177,N,528.0505954764686
202004,202012,D,696,781,784,BA_10_02,방송,무선방송,지상파,Radio,,KBS,D03106,ARCADIA ENTERTAINMENT,D03106000448,D03106000448,Show Time,,,SE,P0000191,LKC MUSIC,CP0006503,[출판사](주)엘케이씨뮤직(라이브러리),P0000191,LKC MUSIC,2112.202381905875,3,528.0505954764686,0.1,0.25,0.25,58.085565502411555,522.770089521704,P,580.8556550241155
202004,202012,D,696,781,784,BA_10_02,방송,무선방송,지상파,Radio,,KBS,D03106,ARCADIA ENTERTAINMENT,D03106001996,D03106001996,Weekend Pleasure,,,C,N0022209,Kurt Zochling and Wolfgang Wehner,CN0024557,[LKC]Kurt Zochling and Wolfgang Wehner,N0022209,Kurt Zochling and Wolfgang Wehner,26754.563504141075,38,13377.281752070538,0.1,0.5,0.5,1337.728175207054,12039.553576863484,N,13377.281752070538
202004,202012,D,696,781,784,BA_10_02,방송,무선방송,지상파,Radio,,KBS,D03106,ARCADIA ENTERTAINMENT,D03106001996,D03106001996,Weekend Pleasure,,,E,N0021746,ARCADIA ENTERTAINMENT,CN0024309,[비회원] ARCADIA ENTERTAINMENT,N0021746,ARCADIA ENTERTAINMENT,26754.563504141075,38,6688.640876035269,0.1,0.25,0.25,668.864087603527,6019.776788431742,N,6688.640876035269
202004,202012,D,696,781,784,BA_10_02,방송,무선방송,지상파,Radio,,KBS,D03106,ARCADIA ENTERTAINMENT,D03106001996,D03106001996,Weekend Pleasure,,,SE,P0000191,LKC MUSIC,CP0006503,[출판사](주)엘케이씨뮤직(라이브러리),P0000191,LKC MUSIC,26754.563504141075,38,6688.640876035269,0.1,0.25,0.25,735.7504963638797,6621.754467274917,P,7357.504963638797
202004,202012,D,696,781,784,BA_10_02,방송,무선방송,지상파,Radio,,KBS,D03106,ARCADIA ENTERTAINMENT,D03106006033,D03106006033,Acceptance By The Tribe,,,C,N0022220,Michael Duke,CN0024449,[LKC]Michael Duke,N0022220,Michael Duke,1408.1349212705834,2,704.0674606352917,0.1,0.5,0.5,70.40674606352917,633.6607145717626,N,704.0674606352917
